registros;natureza;municipio;cod_municipio;mes;ano;risp;rmbh
0;ESTUPRO CONSUMADO;CANDEIAS;311200;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CANTAGALO;311205;1;2026;RISP 8 - GOV. VALADARES;NÃO
0;ESTUPRO CONSUMADO;CAPARAO;311210;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;CAPELA NOVA;311220;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;CAPELINHA;311230;1;2026;RISP 14 - CURVELO;NÃO
0;ESTUPRO CONSUMADO;CAPETINGA;311240;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;CAPIM BRANCO;311250;1;2026;RISP 19 - SETE LAGOAS;SIM
0;ESTUPRO CONSUMADO;CAPINOPOLIS;311260;1;2026;RISP 9 - UBERLÂNDIA;NÃO
0;ESTUPRO CONSUMADO;CAPITAO ANDRADE;311265;1;2026;RISP 8 - GOV. VALADARES;NÃO
0;ESTUPRO CONSUMADO;CAPITAO ENEIAS;311270;1;2026;RISP 11 - MONTES CLAROS;NÃO
0;ESTUPRO CONSUMADO;CAPITOLIO;311280;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;CAPUTIRA;311290;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;CARAI;311300;1;2026;RISP 15 - TEÓFILO OTONI;NÃO
0;ESTUPRO CONSUMADO;CARANAIBA;311310;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;CARANDAI;311320;1;2026;RISP 13 - BARBACENA;NÃO
1;ESTUPRO CONSUMADO;CARANGOLA;311330;1;2026;RISP 4 - JUIZ DE FORA;NÃO
1;ESTUPRO CONSUMADO;CARATINGA;311340;1;2026;RISP 12 - IPATINGA;NÃO
1;ESTUPRO CONSUMADO;CARBONITA;311350;1;2026;RISP 14 - CURVELO;NÃO
0;ESTUPRO CONSUMADO;CAREACU;311360;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CARLOS CHAGAS;311370;1;2026;RISP 15 - TEÓFILO OTONI;NÃO
0;ESTUPRO CONSUMADO;CARMESIA;311380;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;CARMO DA CACHOEIRA;311390;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CARMO DA MATA;311400;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CARMO DE MINAS;311410;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CARMO DO CAJURU;311420;1;2026;RISP 7 - DIVINÓPOLIS;NÃO
0;ESTUPRO CONSUMADO;CARMO DO PARANAIBA;311430;1;2026;RISP 10 - PATOS DE MINAS;NÃO
0;ESTUPRO CONSUMADO;CARMO DO RIO CLARO;311440;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
1;ESTUPRO CONSUMADO;CARMOPOLIS DE MINAS;311450;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CARNEIRINHO;311455;1;2026;RISP 5 - UBERABA;NÃO
0;ESTUPRO CONSUMADO;CARRANCAS;311460;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;CARVALHOPOLIS;311470;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;CARVALHOS;311480;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CASA GRANDE;311490;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;CASCALHO RICO;311500;1;2026;RISP 9 - UBERLÂNDIA;NÃO
0;ESTUPRO CONSUMADO;CASSIA;311510;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;CATAGUASES;311530;1;2026;RISP 4 - JUIZ DE FORA;NÃO
0;ESTUPRO CONSUMADO;CATAS ALTAS;311535;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;CATAS ALTAS DA NORUEGA;311540;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;CATUJI;311545;1;2026;RISP 15 - TEÓFILO OTONI;NÃO
0;ESTUPRO CONSUMADO;CATUTI;311547;1;2026;RISP 11 - MONTES CLAROS;NÃO
1;ESTUPRO CONSUMADO;CAXAMBU;311550;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CEDRO DO ABAETE;311560;1;2026;RISP 7 - DIVINÓPOLIS;NÃO
0;ESTUPRO CONSUMADO;CENTRAL DE MINAS;311570;1;2026;RISP 8 - GOV. VALADARES;NÃO
0;ESTUPRO CONSUMADO;CENTRALINA;311580;1;2026;RISP 9 - UBERLÂNDIA;NÃO
0;ESTUPRO CONSUMADO;CHACARA;311590;1;2026;RISP 4 - JUIZ DE FORA;NÃO
0;ESTUPRO CONSUMADO;CHALE;311600;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;CHAPADA DO NORTE;311610;1;2026;RISP 14 - CURVELO;NÃO
0;ESTUPRO CONSUMADO;CHAPADA GAUCHA;311615;1;2026;RISP 16 - UNAÍ;NÃO
0;ESTUPRO CONSUMADO;CHIADOR;311620;1;2026;RISP 4 - JUIZ DE FORA;NÃO
0;ESTUPRO CONSUMADO;CIPOTANEA;311630;1;2026;RISP 13 - BARBACENA;NÃO
0;ESTUPRO CONSUMADO;CLARAVAL;311640;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;CLARO DOS POCOES;311650;1;2026;RISP 11 - MONTES CLAROS;NÃO
0;ESTUPRO CONSUMADO;CLAUDIO;311660;1;2026;RISP 7 - DIVINÓPOLIS;NÃO
1;ESTUPRO CONSUMADO;COIMBRA;311670;1;2026;RISP 4 - JUIZ DE FORA;NÃO
0;ESTUPRO CONSUMADO;COLUNA;311680;1;2026;RISP 8 - GOV. VALADARES;NÃO
0;ESTUPRO CONSUMADO;COMENDADOR GOMES;311690;1;2026;RISP 5 - UBERABA;NÃO
0;ESTUPRO CONSUMADO;COMERCINHO;311700;1;2026;RISP 15 - TEÓFILO OTONI;NÃO
0;ESTUPRO CONSUMADO;CONCEICAO DA APARECIDA;311710;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;CONCEICAO DA BARRA DE MINAS;311520;1;2026;RISP 13 - BARBACENA;NÃO
1;ESTUPRO CONSUMADO;CONCEICAO DAS ALAGOAS;311730;1;2026;RISP 5 - UBERABA;NÃO
0;ESTUPRO CONSUMADO;CONCEICAO DAS PEDRAS;311720;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;CONCEICAO DE IPANEMA;311740;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;CONCEICAO DO MATO DENTRO;311750;1;2026;RISP 14 - CURVELO;NÃO
0;ESTUPRO CONSUMADO;CONCEICAO DO PARA;311760;1;2026;RISP 7 - DIVINÓPOLIS;NÃO
